Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bahrain,BHR,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.52910482,28.57703762,29.01633889,28.83745173,28.72749459,28.52725035,28.34803673,28.19762148,28.17504984,28.46709581,28.56783803,28.70273349,29.17294601,30.19379052,31.26689416,32.46815987,33.53034133,34.68935009,34.54983468,35.71940414,35.25295053,35.00372116,35.07255724,35.21169443,35.15731625,35.31476579,35.312378,35.20719819,35.09681811,34.54609818,35.15364128,35.22184506,35.14131801,35.03992016,34.90615542
"Bahamas, The",BHS,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.31584705,15.30053349,12.24925887,12.91374216,14.24602867,14.8020678,14.64681719,15.29117611,16.71840719,17.0118673,17.04621405,16.69544347,15.84922574,16.07158901,17.82547775,18.30354887,17.95755207,16.2541599,16.0627468,14.59154676,13.12776937,13.45186723,13.39214947,13.60787027,13.56334068,13.73874896,14.11673977,14.26635039,14.46708001,14.34385443,14.89397068,14.94239653,14.88713569,14.84194573,14.79003904
Bosnia and Herzegovina,BIH,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.21844064,30.23930597,30.15243484,30.03505481,30.01228916,30.03054324,30.21013493,30.48931713,30.31525482,30.49316626,30.43778761,30.43232393,30.49193132,30.52924769,30.70921847,30.84360878,32.55486389,32.37969243,31.40197811,30.85347161,28.90209373,30.29572449,29.82220086,30.02379239,29.50881329,31.2821818,29.5183526,32.18628412,31.74095046,33.51523256,30.59165831,30.67300125,30.62962893,30.63757735,30.60016148
Belarus,BLR,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.82935446,38.19555583,37.38302528,35.99055553,34.99510597,34.63196069,34.83556862,34.81321766,34.49919673,34.41842404,34.07116483,33.90295302,33.85103188,34.04157199,34.13247826,34.29339628,34.33337927,34.5977353,34.03351448,33.94120614,33.56837841,33.21590897,32.90705705,32.43265666,32.18945863,31.54599906,30.77233713,30.62883924,30.38711726,30.58170469,30.45102611,30.9298204,30.9801111,31.04013026,31.05820198
Belize,BLZ,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.49394498,18.55398611,18.69955157,17.95203573,17.81225384,16.96294956,18.24477192,17.98469769,16.98951385,17.4921573,17.5420348,17.63713682,17.59580485,17.75529791,17.88188717,17.82551821,17.70666564,17.73066598,17.40159574,17.07494149,16.99728596,16.89551624,16.917141,16.88884675,15.4212582,15.70579851,15.69530113,17.48656393,15.70465679,15.64880711,15.82929802,15.74564285,15.38228767,15.41350782,15.34884829
Bermuda,BMU,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5614214,24.1502513,22.31209896,23.66983367,21.81628344,21.93006511,22.51127153,22.81041275,22.80668237,21.98857288,19.07875199,21.69203119,24.15291013,24.15260497,23.03306892,21.17019785,23.28173709,23.70387863,24.31386282,21.77163261,19.8371829,19.92831867,18.85559091,23.34707484,23.28703799,23.34930761,22.53284519,22.1517147,23.3942127,20.19006737,20.4315925,20.51313778,20.11354603,19.95354945,19.79353111
Brazil,BRA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.97769961,24.65956567,24.63109703,24.80924084,24.36216661,24.43250243,24.47036457,24.39932855,23.61446102,23.49876573,23.22294302,23.69627492,23.11619958,23.21953533,23.59436085,23.54884601,24.1212243,24.86628041,24.30102741,24.18283477,23.90908124,23.82031088,23.65553526,23.57364394,22.81981481,21.36961923,20.94447545,20.53004478,20.40262746,20.25648079,20.73347764,20.4917035,20.17157032,20.30222502,20.21307677
Barbados,BRB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2279898,24.1818024,23.17064876,22.93212227,23.63723303,23.51882683,23.52847797,25.29203052,25.73144234,24.51951847,23.31029335,22.48297449,21.42995393,21.27916211,21.02210436,20.43835777,21.14527309,20.93813585,20.84129598,20.41072894,20.03476943,19.80702932,19.79157388,19.56844555,19.36017194,19.26088159,19.31099048,18.23869733,16.91120538,16.41008316,16.79523469,16.17635567,16.23152779,16.19327778,16.17170798
Brunei Darussalam,BRN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.97984471,23.71186215,23.2056533,22.72048205,22.91178829,22.33644208,22.02749502,21.09294458,20.13784963,19.67931318,19.40333893,19.44766678,19.49359499,19.34380658,19.21279741,19.24687901,18.75358725,18.66533718,18.25014798,18.15753241,18.36424903,18.3403895,18.04627732,17.84959398,17.25585224,16.58267436,16.12741701,19.4043527,20.76297327,23.71513719,23.56681998,21.47085934,20.45003488,20.44660428,20.38558197
