Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bahrain,BHR,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.04427175,69.11394308,68.80433106,69.07215681,69.26946632,69.55086358,69.80475812,70.03354859,70.1230014,69.89343622,69.86455667,69.77420273,69.35431066,68.39440224,67.37832964,66.23496726,65.23103092,64.12741833,64.30874476,63.19302859,63.65651707,63.91054126,63.84518318,63.71012894,63.7681669,63.64030213,63.66756659,63.79944834,63.93983723,64.50119197,63.91000932,63.86852456,63.97779112,64.10409949,64.25938499
"Bahamas, The",BHS,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.42961022,79.44833037,82.29199585,81.65653167,81.41564842,80.20608358,81.51461863,81.17875255,79.24962538,78.87855214,78.75162533,79.59296132,81.15137598,79.4966248,78.68042718,79.19073846,79.73950396,80.80825629,81.05555682,82.12251912,83.13020033,83.41606913,83.93160711,84.15254148,84.55657725,84.67589441,84.56981732,84.6430668,84.62187355,84.72223677,84.18425427,84.19539172,84.28273337,84.35695727,84.43543931
Bosnia and Herzegovina,BIH,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.85914485,43.41307871,43.8567543,44.07410733,44.23625124,44.13088537,44.17525877,44.34797927,44.88848738,45.24594311,45.77224279,46.18089884,46.5402834,46.84390372,47.09062164,47.4561985,46.46864381,45.85345151,46.16368898,48.28337838,50.31604783,47.95314022,50.17406162,51.82827173,51.51188838,49.66909071,50.48461717,51.07901189,49.21863755,53.66600843,50.85782605,51.30511372,51.79782195,52.246321,52.69084595
Belarus,BLR,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.74654019,38.4127924,39.85309959,41.79228242,42.48977951,43.31880951,44.07009358,44.91518438,45.77289162,46.57683635,47.58396321,48.43349827,49.28214172,50.03069954,50.81689266,51.52017376,52.24904863,52.79233198,53.67674705,54.40459184,55.24815448,55.95344854,56.59394042,57.37358939,58.0722559,58.71571554,58.53120289,58.05640231,58.55577747,58.52593181,58.64176279,58.96188802,58.90772555,59.21335347,59.46344504
Belize,BLZ,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.27467158,52.77435038,53.1264574,54.60942624,55.03441899,54.3570853,51.84664302,57.00110583,55.54039187,56.55337594,57.87953694,59.09890005,60.40714915,61.47227217,62.56319111,62.83859932,63.21385089,63.37292686,63.84574468,64.33147133,64.58425857,64.93649523,65.18699622,65.44054373,66.496722,65.73243996,66.88643651,65.09205397,67.43488483,66.60127586,66.64429049,67.17419588,67.78104196,68.19654598,68.51822084
Bermuda,BMU,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2872707,38.2284503,41.85007748,42.62007829,39.87357176,40.42720302,38.5867378,39.28604578,39.86316526,41.40144124,39.16184438,38.61812542,43.11853636,43.11869902,40.81562574,41.82131096,42.97477966,47.33155712,47.77189343,48.42434753,48.65406551,50.82556388,50.03960421,47.52997936,48.72156903,49.12616917,49.20103976,49.09125898,51.40659925,51.93148697,51.92098859,54.67872704,54.80756453,55.12393122,55.49206445
Brazil,BRA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9210854,58.91679881,59.15185591,59.27959936,59.93138904,60.86121677,60.97570947,61.70711914,62.00886488,62.29339713,62.63891553,62.08371598,62.50684303,61.95243976,62.07714185,63.0885308,63.41032708,63.46211279,64.42026002,65.30180337,66.17731078,66.33153951,66.31839505,67.11986257,67.84779363,68.83245028,69.86410494,70.41301199,70.72010524,70.42945507,69.77092445,70.77685613,71.62561134,71.98212263,72.15909829
Barbados,BRB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.97414173,70.33653893,72.01488549,72.43425197,72.33113732,71.6706187,71.80693297,70.80099801,70.48552127,72.22416513,73.04088884,73.97788814,74.5511555,74.82806155,76.22003615,75.40986012,75.37605338,75.87702209,75.82615471,76.29619222,76.77951873,77.06983306,77.17555892,77.47849117,77.74955474,77.87738114,77.58360427,78.66629934,80.26038619,80.62071454,80.27465862,80.97200219,82.3987737,82.5047855,82.58295762
Brunei Darussalam,BRN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.39152303,73.7496114,74.34635893,74.91907774,74.82758621,75.47503314,75.85940662,76.87493647,77.885041,78.40772261,78.75728539,78.75459049,78.74323117,78.92426709,79.08382206,79.08353751,79.6100512,79.72171391,80.17846972,80.29775259,80.11454778,80.1688188,80.4935413,80.71916769,81.3408381,82.03717359,82.51404814,79.5353505,77.28344404,74.94836476,75.02697996,77.01260645,78.27861659,78.3168445,78.4133595
